HORA_INT,DIA_SEMANA_INT,DIA_MES_INT,MES,ACTIVIDAD,SCA_AREA,DENSIDAD_NOCTURNA,DENSIDAD_BANCARIA,DENSIDAD_TIENDAS,DENSIDAD_PARQUES,ILUMINACION,PERSONAS,SEGURIDAD,SENDERO,TRANSPORTE,GENERO,DELITOS
MAÑANA,ENTRE SEMANA,NO QUINCENA,10,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,10,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,NO QUINCENA,9,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PERSONAS
MAÑANA,FIN DE SEMANA,NO QUINCENA,9,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,NO QUINCENA,7,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,7,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PATRIMONIO
MEDIO DIA,FIN DE SEMANA,NO QUINCENA,5,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PERSONAS
MEDIO DIA,FIN DE SEMANA,NO QUINCENA,5,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,MASCULINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,NO QUINCENA,1,PARQUES,4.201207974527437e-05,9,7,20,8,138.18913243023673,63.5556390159619,2.343392276566193,134.99359750764646,92.74152464228632,FEMENINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,10,PARQUES,2.385118096070202e-05,0,7,20,4,72.61835647630569,16.39481913084693,3.118579725976318,72.35104964265058,53.995980398332826,FEMENINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,10,PARQUES,2.385118096070202e-05,0,7,20,4,72.61835647630569,16.39481913084693,3.118579725976318,72.35104964265058,53.995980398332826,FEMENINO,HURTO A PATRIMONIO
NOCHE,FIN DE SEMANA,NO QUINCENA,10,PARQUES,8.806913889383017e-05,12,20,20,11,191.6952752735457,26.15147899484664,8.141498177640935,173.93200652232906,78.2077249185508,FEMENINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,10,PARQUES,8.806913889383017e-05,12,20,20,11,191.6952752735457,26.15147899484664,8.141498177640935,173.93200652232906,78.2077249185508,FEMENINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,NO QUINCENA,1,PARQUES,8.806913889383017e-05,12,20,20,11,191.6952752735457,26.15147899484664,8.141498177640935,173.93200652232906,78.2077249185508,MASCULINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,NO QUINCENA,1,PARQUES,8.806913889383017e-05,12,20,20,11,191.6952752735457,26.15147899484664,8.141498177640935,173.93200652232906,78.2077249185508,MASCULINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,NO QUINCENA,4,PARQUES,4.922252735336564e-05,3,5,20,5,118.01717896600552,33.322497590401554,3.5173747456534974,118.01717896600552,83.9541814291506,MASCULINO,HURTO A PERSONAS
MAÑANA,FIN DE SEMANA,NO QUINCENA,4,PARQUES,4.922252735336564e-05,3,5,20,5,118.01717896600552,33.322497590401554,3.5173747456534974,118.01717896600552,83.9541814291506,MASCULINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,QUINCENA,2,PARQUES,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212,FEMENINO,HURTO A PERSONAS
MAÑANA,FIN DE SEMANA,QUINCENA,2,PARQUES,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212,FEMENINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,NO QUINCENA,2,PARQUES,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,2,PARQUES,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212,MASCULINO,HURTO A PATRIMONIO
MAÑANA,FIN DE SEMANA,NO QUINCENA,2,PARQUES,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212,MASCULINO,HURTO A PERSONAS
MAÑANA,FIN DE SEMANA,NO QUINCENA,2,PARQUES,3.4931915384630124e-05,20,20,20,3,108.65946080436603,30.97487361727374,3.661566529837471,112.7168723644562,73.62717562700212,MASCULINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,NO QUINCENA,11,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,NO QUINCENA,11,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PATRIMONIO
TARDE,ENTRE SEMANA,NO QUINCENA,7,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
TARDE,ENTRE SEMANA,NO QUINCENA,7,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,QUINCENA,6,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,QUINCENA,6,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,QUINCENA,3,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,FEMENINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,2,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,2,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,2,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PATRIMONIO
NOCHE,FIN DE SEMANA,NO QUINCENA,1,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,1,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PATRIMONIO
NOCHE,FIN DE SEMANA,NO QUINCENA,12,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,12,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,MASCULINO,HURTO A PATRIMONIO
TARDE,ENTRE SEMANA,NO QUINCENA,4,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,FEMENINO,HURTO A PERSONAS
TARDE,ENTRE SEMANA,NO QUINCENA,4,PARQUES,3.568526685170126e-05,4,9,20,1,117.37852771577606,53.984471893946335,1.990488907821485,114.66422465965584,78.77510647317756,FEMENINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,QUINCENA,12,PARQUES,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,QUINCENA,12,PARQUES,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,MASCULINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,NO QUINCENA,7,PARQUES,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,FEMENINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,7,PARQUES,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,FEMENINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,NO QUINCENA,7,PARQUES,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,FEMENINO,HURTO A PERSONAS
MEDIO DIA,FIN DE SEMANA,NO QUINCENA,1,PARQUES,5.69052145933776e-05,20,20,20,10,136.43738458517802,38.52349682405027,4.066369109205306,136.43738458517802,97.05781005392664,FEMENINO,HURTO A PERSONAS
